sample,welch_t
844,-5.95675
845,-3.53376
846,-4.82929
847,-4.65158
848,-4.03042
849,-5.17095
850,-3.37697
851,-6.61824
852,-4.65469
853,-5.75178
854,-5.67327
855,-4.48913
856,-5.93515
857,-3.97179
858,-5.98511
859,-4.81378
860,-3.77017
861,-6.20299
862,-4.63345
863,-5.92355
864,-5.36371
865,-4.69505
866,-5.91027
867,-5.68542
868,-5.20461
869,-5.91952
870,-5.21977
871,-5.12881
872,-4.42737
873,-4.68999
874,-4.55571
875,-2.47659
876,-6.70088
877,-4.06662
878,-5.30123
879,-7.32179
880,-6.39364
881,-7.92777
882,-6.86612
883,-8.48975
884,-6.50095
885,-6.53873
886,-8.65983
887,-6.03285
888,-7.5938
889,-6.85379
890,-5.8194
891,-8.5139
892,-6.17298
893,-5.88144
894,-7.47264
895,-5.18511
896,-5.78253
897,-6.38984
898,-4.85979
899,-6.26424
900,-3.20594
901,-6.96503
902,-2.55481
903,-4.97578
904,-3.33259
905,-2.62552
906,-4.42645
907,-3.0563
908,-3.97616
909,-4.07055
910,-3.57583
911,-4.7788
912,-4.39753
913,-3.80177
914,-4.20842
915,-3.59295
916,-5.22692
917,-4.18038
918,-4.23224
919,-4.41573
920,-3.85009
921,-4.6293
922,-4.93819
923,-3.87649
924,-5.73653
925,-3.59619
926,-7.16083
927,-4.68122
928,-5.8105
929,-5.10321
930,-5.06158
931,-5.03721
932,-3.89098
933,-6.02709
934,-3.23433
935,-4.87387
936,-4.72967
937,-5.50064
938,-4.08552
939,-4.8288
940,-3.18769
941,-5.85398
942,-5.7353
943,-4.04193
944,-5.41528
945,-4.87898
946,-4.23759
947,-5.79762
948,-3.76119
949,-4.4794
950,-2.89523
951,-6.58757
952,-3.33759
953,-4.67288
954,-5.92486
955,-3.48143
956,-5.57699
957,-4.74087
958,-5.31846
959,-4.73752
960,-4.18033
961,-5.53879
962,-4.16016
963,-4.35739
964,-3.11809
965,-3.0929
966,-4.61036
967,-2.89939
968,-3.46999
969,-4.93355
970,-3.21352
971,-4.40281
972,-4.71514
973,-3.88268
974,-4.11524
975,-3.08203
976,-5.01969
977,-2.67231
978,-3.73229
979,-2.51073
980,-3.55093
981,-3.86899
982,-2.73647
983,-5.1287
984,-3.20414
985,-3.73827
986,-4.8162
987,-4.17439
988,-4.39391
989,-3.59637
990,-4.25099
