sample,mean0_minus_mean1
607,-323.276
608,-379.57
609,-324.668
610,-389.25
611,-331.112
612,-454.619
613,-325.588
614,-447.405
615,-389.786
616,-423.727
617,-487.273
618,-326.626
619,-429.15
620,-396.937
621,-268.42
622,-380.514
623,-281.774
624,-418.922
625,-298.835
626,-526.91
627,-654.514
628,-771.073
629,-1082.02
630,-1043.4
631,-1171.56
632,-1005.92
633,-1004.34
634,-970.073
635,-1073.06
636,-1092.01
637,-1076.51
638,-1147.37
639,-1125.06
640,-1003.49
641,-1118.63
642,-991.766
643,-880.859
644,-982.697
645,-743.763
646,-735.07
647,-648.303
648,-518.196
649,-499.362
650,-312.216
651,-442.312
652,-169.337
653,-348.69
654,-256.397
655,-190.453
656,-324.141
657,-111.736
658,-308.396
659,-260.745
660,-190.148
661,-310.63
662,-213.287
663,-299.493
664,-203.406
665,-262
666,-312.743
667,-241.611
668,-398.927
669,-387.699
670,-447.378
671,-481.7
672,-523.393
673,-548.425
674,-610.485
675,-509.71
676,-709.81
677,-531.716
678,-655.421
679,-564.789
680,-624.721
681,-530.519
682,-567.663
683,-622.922
684,-507.181
685,-575.308
686,-598.795
687,-581.658
688,-601.543
689,-628.713
690,-548.694
691,-641.125
692,-606.559
693,-532.678
694,-577.857
695,-559.569
696,-498.697
697,-598.532
698,-561.515
699,-559.668
700,-527.11
701,-691.745
702,-449.426
703,-654.716
704,-563.419
705,-582.413
706,-566.669
707,-538.099
708,-625.999
709,-456.989
710,-528.528
711,-416.725
712,-501.508
713,-428.792
714,-381.54
715,-440.724
716,-443.161
717,-400.801
718,-453.774
719,-426.918
720,-415.076
721,-318.935
722,-454.655
723,-323.605
724,-358.526
725,-317.221
726,-398.541
727,-343.037
728,-394.631
729,-347.258
730,-412.108
731,-366.718
732,-397.891
733,-513.765
734,-414.973
735,-525.817
736,-453.122
737,-489.453
738,-417.862
739,-441.404
740,-406.474
741,-355.945
742,-472.302
743,-401.303
744,-447.426
745,-471.729
746,-365.353
747,-473.391
748,-442.809
749,-436.979
750,-430.537
751,-508.083
752,-615.53
753,-571.894
754,-834.437
755,-820.337
756,-876.835
757,-799.481
758,-795.765
759,-789.3
760,-898.532
761,-859.514
762,-936.907
763,-1025.29
764,-927.501
765,-906.081
766,-848.336
767,-916.544
768,-669.906
769,-802.45
770,-643.265
771,-508.889
772,-676.973
773,-416.583
774,-461.387
775,-363.542
776,-461.345
777,-348.174
778,-410.414
779,-346.598
780,-381.313
781,-297.373
782,-365.885
783,-243.235
784,-299.262
785,-207.015
786,-229.719
787,-354.094
788,-231.125
789,-298.268
790,-340.933
791,-350.847
792,-428.171
793,-383.502
794,-486.696
795,-426.997
796,-400.778
797,-564.369
798,-377.604
799,-557.687
800,-354.842
801,-597.684
802,-487.967
803,-468.33
804,-547.458
805,-515.677
806,-542.836
807,-539.102
808,-607.489
809,-541.996
810,-495.185
811,-557.573
812,-514.47
813,-481.898
814,-528.638
815,-343.701
816,-597.962
817,-505.284
818,-478.645
819,-511.506
820,-490.583
821,-484.599
822,-572.141
823,-484.117
824,-548.658
825,-418.229
826,-647.169
827,-407.529
828,-526.521
829,-506.488
830,-354.963
831,-504.704
832,-437.89
833,-478.484
834,-446.664
835,-441.912
836,-481.583
837,-485.12
838,-426.943
839,-419.513
840,-336.923
841,-478.682
842,-339.714
843,-376.815
844,-427.594
845,-253.057
846,-346.372
847,-337.881
848,-291.425
849,-377.969
850,-247.594
851,-485.633
852,-332.227
853,-421.078
854,-407.817
855,-326.021
856,-444.445
857,-291.937
858,-426.179
859,-349.172
860,-281.5
861,-465.93
862,-335.521
863,-421.662
864,-385.367
865,-331.923
866,-429.044
867,-409.906
868,-389.684
869,-419.977
870,-371.224
871,-373.399
872,-348.316
873,-389.517
874,-358.83
875,-207.358
876,-493.837
877,-317.208
878,-439.036
879,-648.511
880,-518.866
881,-631.818
882,-530.749
883,-658.862
884,-506.479
885,-515.291
886,-682.663
887,-477.123
888,-633.146
889,-533.907
890,-458.402
891,-641.215
892,-463.23
893,-451.791
894,-543.128
895,-386.486
896,-432.842
897,-491.782
898,-357.764
899,-452.823
900,-237.76
901,-513.578
902,-184.368
903,-353.15
904,-242.31
905,-194.624
906,-326.841
907,-226.701
908,-290.099
909,-296.145
910,-263.959
911,-347.223
912,-324.117
913,-287.278
914,-311.549
915,-260.444
916,-372.751
917,-302.568
918,-319.573
919,-316.341
920,-273.374
921,-325.293
922,-352.382
923,-283.775
924,-409.851
925,-260.615
926,-518.924
927,-351.607
928,-439.548
929,-382.63
930,-376.19
931,-370.187
932,-293.308
933,-449.251
934,-238.883
935,-371.104
936,-355.065
937,-407.68
938,-300.965
939,-387.242
940,-240.185
941,-452.231
942,-425.309
943,-330.747
944,-401.593
945,-371.884
946,-308.025
947,-425.922
948,-275.039
949,-318.81
950,-216.204
951,-472.848
952,-238.036
953,-337.89
954,-419.008
955,-255.496
956,-410.167
957,-340.163
958,-377.813
959,-336.621
960,-308.274
961,-392.357
962,-297.553
963,-311.645
964,-219.228
965,-227.85
966,-332.806
967,-209.477
968,-250.882
969,-336.779
970,-230.618
971,-327.036
972,-345.989
973,-275.771
974,-289.655
975,-225.784
976,-365.434
977,-192.863
978,-261.093
979,-174.675
980,-258.26
981,-280.377
982,-197.065
983,-364.585
984,-230.355
985,-271.134
986,-352.712
987,-308.563
988,-319.936
989,-253.416
990,-304.203
991,-281.499
992,-261.098
993,-219.204
994,-212.016
995,-282.238
996,-172.73
997,-278.061
998,-279.736
999,-230.539
1000,-239.884
1001,-417.228
1002,-297.16
1003,-299.601
1004,-370.155
1005,-354.39
1006,-323.658
1007,-302.24
1008,-344.069
1009,-236.601
1010,-386.581
1011,-336.181
1012,-311.439
1013,-398.885
1014,-268.569
1015,-316.21
1016,-403.523
1017,-315.639
1018,-354.075
1019,-307.56
1020,-344.178
1021,-164.661
1022,-353.214
1023,-135.36
1024,-178.94
1025,-221.136
1026,-295.427
1027,-161.952
1028,-316.271
1029,-170.674
1030,-253.381
1031,-249.724
1032,-241.68
1033,-276.08
1034,-162.019
1035,-269.269
1036,-191.857
1037,-264.799
1038,-172.13
1039,-116.175
1040,-217.529
1041,-171.321
1042,-208.03
1043,-246.442
1044,-205.019
1045,-326.819
1046,-196.811
1047,-339.035
1048,-224.518
1049,-225.008
1050,-197.493
1051,-271.791
1052,-193.768
1053,-206.354
1054,-116.26
1055,-314.228
1056,-147.984
1057,-190.196
1058,-296.702
1059,-98.9124
1060,-372.58
1061,-199.783
1062,-314.316
1063,-254.829
1064,-183.833
1065,-261.184
1066,-169.523
