sample,mean_class0,mean_class1
30791,-1737.95,-1652.17
30792,-1727.58,-1657.18
30793,-1650.17,-1538.68
30794,-1633.39,-1525.98
30795,-1724.46,-1643.79
30796,-1617.71,-1513.63
30797,-1651.77,-1608.55
30798,-1662.14,-1620.99
30799,-1684.41,-1573.92
30800,-1539.54,-1586.7
30801,-1599.07,-1623.06
30802,-1645.96,-1510.35
30803,-1558.09,-1643.88
30804,-1653.71,-1519.24
30805,-1615.94,-1616.84
30806,-1641.99,-1549.91
30807,-1714.76,-1669.7
30808,-1831.72,-1701.14
30809,-1790.74,-1672.46
30810,-1306.73,-1235.86
30811,-1991.84,-1920.78
30812,-709.818,-588.869
30813,-1508.93,-1495.84
30814,-1804.4,-1708.39
30815,-2309.31,-2404.45
30816,-231.715,-166.521
30817,594.551,659.692
30818,-947.773,-920.184
30819,-1979.87,-1986.42
30820,-1494.94,-1330.79
30821,-1102.42,-1042.31
30822,-621.955,-616.335
30823,-950.219,-733.366
30824,-935.462,-904.205
30825,-1489.37,-1454.73
30826,-1644.61,-1562.69
30827,-1226.96,-1098.19
30828,-1157.9,-1191.38
30829,-1308.58,-1195.36
30830,-1433.13,-1428.04
30831,-1733.48,-1760.22
30832,-1399.82,-1325.6
30833,-1579.51,-1536.86
30834,-1662.48,-1641.03
30835,-1556.91,-1439.44
30836,-1381.27,-1338.13
30837,-1662.99,-1591.62
30838,-1909.63,-1708.22
30839,-1830.87,-1785.52
30840,-1721.09,-1650.01
30841,-1663.92,-1577.2
30842,-1589.04,-1524.25
30843,-1759.7,-1651.48
30844,-1689.04,-1692.93
30845,-1873.12,-1772.57
30846,-1554.38,-1583.68
30847,-1496.03,-1449.11
30848,-1566.78,-1445.66
30849,-1586.26,-1634.46
30850,-1631.79,-1487.98
30851,-1497.63,-1551.81
30852,-1596.8,-1423.46
30853,-1475.63,-1411.71
30854,-1501.34,-1431.75
30855,-1537.35,-1404.98
30856,-1473.35,-1453.6
30857,-1491.65,-1388.74
30858,-1387.93,-1353.16
30859,-1367.61,-1324.22
30860,-1451.09,-1373.97
30861,-1239.69,-1312.56
30862,-1398.22,-1235.61
30863,-1357.49,-1327.76
30864,-1276.04,-1235.43
30865,-1392.32,-1303.75
30866,-1310.44,-1331.39
30867,-1437.43,-1271.1
30868,-1303.19,-1164.09
30869,-1509.78,-1492.56
30870,-1307.83,-1129.11
30871,-1177.21,-1149.93
30872,-1784.5,-1749.42
30873,-889.845,-787.779
30874,-1317.69,-1336.23
30875,-301.702,-241.576
30876,11.8893,-83.7787
30877,-327.167,-52.4265
30878,-3072,-3253.2
30879,-1404.04,-1222.48
30880,-1380.68,-1311.78
30881,-311.062,-349.279
30882,-1244.58,-1025.21
30883,-722.804,-702.359
30884,-1292.82,-1148.03
30885,-1113.8,-1014.33
30886,-848.105,-817.404
30887,-929.644,-776.551
30888,-988.754,-1029.35
30889,-1011.35,-833.641
30890,-1151.66,-1249.25
30891,-1162.37,-1134.04
30892,-1163.81,-1029.79
30893,-1012.95,-1029.79
30894,-1442.07,-1377.86
30895,-1201.5,-1077.89
30896,-1337.76,-1339.25
30897,-1664.59,-1520.28
30898,-1479.5,-1433.65
30899,-1500.84,-1351.43
30900,-1194.33,-1178.43
30901,-1335.48,-1296.15
30902,-1548.56,-1350.22
30903,-1299.73,-1395.39
30904,-1715.77,-1511.73
30905,-1293.24,-1375.01
30906,-1498.06,-1457.32
30907,-1394.93,-1274.65
30908,-1473.69,-1541.35
30909,-1541.73,-1393.23
30910,-1435.4,-1389.43
30911,-1432.54,-1419.57
30912,-1479.59,-1272.57
30913,-1425.71,-1408.6
30914,-1411.54,-1225.16
30915,-1269.54,-1326.29
30916,-1408.76,-1258.06
30917,-1245.77,-1189.48
30918,-1186.07,-1147.68
30919,-1228.4,-1133.95
30920,-1138,-1196.91
30921,-1216.34,-1103.37
30922,-1108.41,-1146.56
30923,-1242.56,-1195.62
30924,-1250.57,-1166.94
30925,-1117.26,-1139.3
30926,-1270.56,-1224.98
30927,-1229.58,-1017.95
30928,-1223.93,-1216.86
30929,-1303.61,-1125.31
