sample,mean_m0,mean_m1,diff,welch_t
3.449000000000000000e+03,1.718327974276527357e+02,1.714140127388535007e+02,4.187846887992350275e-01,5.749772784209085906e-03
3.450000000000000000e+03,-3.992282958199356813e+01,-7.826751592356687581e+01,3.834468634157330769e+01,5.159533178235820028e-01
3.451000000000000000e+03,-5.914340836012861473e+02,-6.000509554140127193e+02,8.616871812726571989e+00,1.180931408561301660e-01
3.452000000000000000e+03,-2.234855305466238065e+02,-1.010955414012738913e+02,-1.223899891453499151e+02,-1.652858452450724602e+00
3.453000000000000000e+03,4.486173633440514408e+01,-5.380891719745223156e+01,9.867065353185736853e+01,1.337907687538435253e+00
3.454000000000000000e+03,-3.621864951768488936e+02,-3.308025477707006416e+02,-3.138394740614825196e+01,-4.297360956964474954e-01
3.455000000000000000e+03,-2.061993569131832658e+02,-2.366369426751592471e+02,3.043758576197598131e+01,4.072534198886655910e-01
3.456000000000000000e+03,-8.468167202572346923e+02,-8.697070063694267219e+02,2.289028611219202958e+01,3.095798000258905280e-01
3.457000000000000000e+03,-6.218906752411575098e+02,-6.147261146496815627e+02,-7.164560591475947149e+00,-9.729063936548772162e-02
3.458000000000000000e+03,-6.342379421221864959e+02,-5.427770700636942820e+02,-9.146087205849221391e+01,-1.235566204516839850e+00
3.459000000000000000e+03,-8.929131832797427251e+02,-9.907770700636942820e+02,9.786388678395155694e+01,1.310832935246534658e+00
3.460000000000000000e+03,-8.015434083601286375e+02,-7.327388535031847141e+02,-6.880455485694392337e+01,-9.347514869942764593e-01
3.461000000000000000e+03,-7.490675241157556457e+02,-7.582165605095541423e+02,9.149036393798496647e+00,1.269720797657517275e-01
3.462000000000000000e+03,-8.215048231511253789e+02,-9.204585987261147011e+02,9.895377557498932219e+01,1.368344112108734523e+00
3.463000000000000000e+03,-1.282263665594855411e+03,-1.103490445859872580e+03,-1.787732197349828311e+02,-2.473090584648827139e+00
3.464000000000000000e+03,-1.218881028938906866e+03,-1.384968152866242008e+03,1.660871239273351421e+02,2.256037695036930746e+00
3.465000000000000000e+03,-1.173401929260450061e+03,-1.177273885350318551e+03,3.871956089868490380e+00,5.223714280248239333e-02
3.466000000000000000e+03,-1.185337620578778115e+03,-1.085146496815286582e+03,-1.001911237634915324e+02,-1.366110406310412362e+00
3.467000000000000000e+03,-1.105080385852090103e+03,-1.161375796178343990e+03,5.629541032625388652e+01,7.645999508606988737e-01
3.468000000000000000e+03,-1.276090032154340861e+03,-1.287133757961783431e+03,1.104372580744256993e+01,1.478217531537454887e-01
3.469000000000000000e+03,-1.398945337620578812e+03,-1.316280254777070013e+03,-8.266508284350879876e+01,-1.137240071505142280e+00
3.470000000000000000e+03,-1.344823151125401864e+03,-1.491363057324840838e+03,1.465399061994389740e+02,2.031980462225912998e+00
