sample,mean_class0,mean_class1
46953,1145.56,1129.15
46954,1082.49,1066.44
46955,864.466,866.191
46956,648.223,642.319
46957,882.352,829.766
46958,762.49,833.976
46959,666.193,601.944
46960,825.897,882.513
46961,974.834,924.864
46962,615.926,734.153
46963,485.468,525.573
46964,496.318,509.681
46965,612.62,706.148
46966,698.744,697.557
46967,807.248,824.87
46968,563.37,571.017
46969,631.862,600.999
46970,555.74,486.486
46971,678.57,746.781
46972,805.807,700.993
46973,699.507,804.51
46974,715.444,705.203
46975,690.013,703.055
46976,726.464,780.972
46977,770.967,844.542
46978,800.89,805.369
46979,831.152,875.812
46980,760.371,776.762
46981,872.604,832.773
46982,788.26,822.379
46983,893.711,883.458
46984,928.975,885.09
46985,878.029,931.737
46986,989.245,910.518
46987,874.893,898.148
46988,882.437,941.101
46989,1006.03,946.255
46990,838.188,942.819
46991,903.883,893.165
46992,963.136,959.828
46993,846.241,1004.93
46994,832.254,828.134
46995,1027.22,1069.7
46996,1093.59,1115.83
46997,424.18,429.187
46998,1438.18,1435.75
46999,886.76,866.276
47000,2017.48,1994.05
47001,2190.75,2129.44
47002,1848.96,1985.8
47003,-931.772,-905.106
47004,875.486,873.149
47005,911.682,929.589
47006,1866.09,1866.14
47007,1072.49,1097.45
47008,1434.11,1466.16
47009,1078.08,1046.94
47010,1073.17,1200.45
47011,1441.23,1339.7
47012,1262.03,1387.47
47013,1190.99,1167.98
47014,1332.13,1281.89
47015,919.142,972.027
47016,1048.67,997.455
47017,1104.95,1053.9
47018,1048.33,1144.87
47019,800.127,759.238
47020,995.009,1043.16
47021,855.566,892.821
47022,533.192,598.937
47023,656.021,682.523
47024,904.731,895.656
47025,894.22,932.596
47026,937.536,877.616
47027,660.599,740.51
47028,800.89,733.036
47029,627.285,663.452
47030,750.199,759.152
47031,771.73,703.656
47032,714.511,777.192
47033,668.143,649.278
47034,705.95,670.153
47035,664.244,745.493
47036,827.846,724.36
47037,665.007,780.199
47038,742.061,751.248
47039,891.423,918.937
47040,745.028,833.718
47041,884.895,853.477
47042,920.074,935.946
47043,917.616,895.141
47044,1020.19,1009.74
47045,927.195,896.258
47046,999.163,997.283
47047,859.041,900.725
47048,868.45,910.003
47049,966.188,984.311
47050,867.603,871.946
47051,946.691,947.801
47052,851.412,927.012
47053,948.98,921.342
47054,931.942,974.432
47055,782.58,790.593
47056,1075.71,1056.9
47057,652.8,766.711
47058,796.482,771.522
47059,925.838,842.566
47060,1074.52,1200.37
47061,870.315,642.491
47062,1563.97,1726.37
47063,1274.41,1172.53
47064,533.701,591.291
47065,220.228,235.726
47066,2325.36,2303.14
47067,3021.73,3099.49
47068,1489.12,1579.47
47069,470.887,507.791
47070,1105.04,1026.23
47071,1460.47,1494.16
47072,1773.86,1756.43
47073,1684.01,1655.5
47074,1602.29,1628.61
47075,960.763,971.855
47076,957.711,876.07
47077,1207.95,1320.38
47078,1361.46,1301.91
47079,1163.78,1203.29
47080,958.813,935.689
47081,796.736,815.85
47082,912.191,984.655
47083,988.821,992.301
