sample,welch_t
861,-2.26036
862,-0.872439
863,-0.585849
864,-0.678607
865,-0.738918
866,0.404289
867,-1.02432
868,-0.0728191
869,-0.720904
870,0.132864
871,-1.59643
872,-0.185317
873,-0.739703
874,-0.873637
875,0.238663
876,-1.24666
877,-0.404341
878,-1.93918
879,-0.811327
880,-2.08387
881,-1.45918
882,-0.955898
883,-0.894065
884,-2.2673
885,0.480836
886,-3.01045
887,-1.16189
888,-2.72585
889,-1.73027
890,-2.44384
891,-1.83903
892,-2.16754
893,-1.82917
894,-1.0529
895,-1.60924
896,-1.26603
897,-0.841233
898,-1.21197
899,-0.545807
900,0.293375
901,-1.83067
902,0.575891
903,-1.84075
904,0.619128
905,-1.28303
906,-0.83668
907,-0.367496
908,-0.490437
909,-1.07122
910,0.576689
911,-1.13712
912,0.662853
913,-0.260951
914,0.215142
915,-0.74425
916,-0.501479
917,-0.504518
918,-1.31821
919,-0.683994
920,-0.916601
921,-1.88623
922,-0.539794
923,-1.48746
924,-0.903661
925,-1.06028
926,-0.820101
927,-0.487708
928,-1.60192
929,0.464468
930,-1.38066
931,-1.3621
932,-1.22186
933,-0.674615
934,-2.04177
935,-0.701403
936,-1.39399
937,-1.07745
938,-0.445948
939,-1.71205
940,-1.21077
941,0.997445
942,-2.08161
943,-0.263394
944,-0.600969
945,-0.616647
946,-1.42576
947,-0.953207
948,-0.741459
949,-1.94768
950,-0.981492
951,-1.46201
952,-1.18028
953,-1.41333
954,-0.546405
955,-1.82083
956,-0.153649
957,-1.28378
958,0.929877
959,-2.00034
960,0.701004
961,-1.59549
962,-0.881491
963,-0.484791
964,-1.48997
965,-1.3016
966,-0.243946
967,-1.73293
968,0.0590621
969,-1.18801
970,-0.418457
971,-0.629014
972,-0.646389
973,0.0137698
974,-0.930538
975,-0.235096
976,-0.817931
977,-0.603222
978,-0.710457
979,-0.706123
980,-0.842543
981,-1.37273
982,-0.625092
983,0.0176476
984,-2.06899
985,1.39759
986,-2.18508
987,0.0833304
988,-0.226112
989,-1.17021
990,-0.64581
991,-0.671565
992,-0.839189
993,-0.69222
994,-1.35172
995,-0.493316
996,-2.33954
997,-0.228223
998,-0.354637
999,-1.92086
1000,0.633065
1001,-1.38842
1002,0.150661
1003,-1.31364
1004,0.647842
1005,-0.870889
1006,-0.932143
1007,-0.391903
1008,-0.416748
1009,-1.84265
1010,0.0205983
1011,-2.21632
1012,-0.159574
1013,-0.812831
1014,-1.17147
1015,-1.06317
1016,0.0237453
1017,-0.954314
1018,-0.476063
1019,-0.304743
1020,-0.908045
1021,-1.0313
1022,-0.332606
1023,-0.47114
1024,-1.83943
1025,-0.708543
1026,-1.87238
1027,-0.330698
1028,-1.13104
1029,-0.706759
1030,-0.002697
1031,-1.26514
1032,0.210538
1033,0.602414
1034,-1.78027
1035,0.701778
1036,-2.34986
1037,-0.245772
1038,-0.356543
1039,-1.58199
1040,-1.01894
1041,-0.291054
1042,-1.50447
1043,0.0258224
1044,-1.34523
1045,0.607959
1046,-1.13684
1047,0.421682
1048,0.158222
1049,-0.980325
1050,-0.272285
1051,-0.958406
1052,-0.445175
1053,-1.54299
1054,-0.0911455
1055,-1.34947
1056,-0.892881
1057,-0.386292
1058,0.336243
1059,-1.63717
1060,0.878211
1061,-0.858709
1062,-0.0744374
1063,0.556792
1064,-1.29081
1065,-1.29454
