sample,mean0_minus_mean1
701,-38.4626
702,81.4504
703,-37.3391
704,104.485
705,-20.7114
706,28.7268
707,46.4844
708,7.09888
709,-69.6294
710,87.2771
711,-83.6833
712,54.7268
713,-69.387
714,-27.8342
715,-28.3718
716,38.8511
717,-25.9856
718,3.57446
719,34.9873
720,5.19531
721,42.2629
722,10.802
723,4.62695
724,-30.9529
725,-7.65479
726,-36.1204
727,34.7253
728,-120.476
729,92.2732
730,-58.1868
731,32.1636
732,26.3242
733,36.5745
734,-15.2473
735,40.7949
736,37.2412
737,14.9529
738,2.34448
739,23.5979
740,-82.5278
741,122.518
742,-141.699
743,-28.5168
744,-5.63843
745,-53.1321
746,43.9424
747,-2.18628
748,75.7026
749,-17.5747
750,98.3828
751,63.814
752,-94.4585
753,-130.052
754,-32.187
755,-232.768
756,-200.391
757,-198.302
758,-123.441
759,-261.399
760,-67.4824
761,-212.676
762,-146.891
763,-159.992
764,-211.277
765,-164.972
766,-37.8154
767,-275.869
768,-119.073
769,-172.576
770,-130.359
771,-98.0576
772,-145.288
773,-49.6997
774,-95.1702
775,33.7578
776,-17.4612
777,36.1864
778,17.1642
779,26.426
780,23.5007
781,37.6559
782,-38.3369
783,105.749
784,-125.69
785,152.775
786,-83.3267
787,32.4668
788,44.075
789,-58.3319
790,35.5703
791,50.0151
792,-47.4287
793,51.9419
794,-36.1951
795,42.3418
796,-81.4634
797,-74.2729
798,-2.12012
799,-165.222
800,29.0469
801,-118.685
802,-51.3643
803,-107.481
804,-46.2749
805,-53.9331
806,-126.932
807,-8.20312
808,-25.209
809,-142.939
810,73.5024
811,-135.048
812,-48.4204
813,-42.6646
814,-163.025
815,-29.8064
816,-57.0503
817,-132.256
818,-98.8218
819,-129.131
820,-8.30762
821,-169.443
822,43.2891
823,-118.525
824,-71.666
825,16.9058
826,-118.772
827,8.47607
828,-183.583
829,8.7627
830,-123.644
831,-102.995
832,-52.7935
833,-96.8052
834,-122.064
835,30.1262
836,-155.567
837,29.1746
838,-54.5903
839,-36.9062
840,-6.98242
841,-4.0144
842,-79.3494
843,-53.8728
844,-29.9082
845,-48.2542
846,-85.6418
847,-29.9243
848,-35.2812
849,-55.9231
850,3.66431
851,-31.8074
852,50.8848
853,-92.6687
854,87.5876
855,-43.9333
856,-38.6436
857,-15.6982
858,-12.0303
859,-134.831
860,34.3655
861,-162.825
862,-62.2239
863,-41.8594
864,-46.5645
865,-52.0857
866,30.0303
867,-75.4392
868,-5.07422
869,-50.9138
870,9.50928
871,-118.03
872,-14.488
873,-60.405
874,-68.5901
875,19.5486
876,-90.7197
877,-31.3848
878,-156.162
879,-67.521
880,-155.291
881,-111.204
882,-73.0469
883,-65.9116
884,-165.484
885,34.9048
886,-224.266
887,-85.9292
888,-200.359
889,-125.499
890,-179.645
891,-135.375
892,-161.238
893,-133.905
894,-77.9819
895,-118.255
896,-91.4766
897,-60.552
898,-86.6582
899,-38.5088
900,21.3359
901,-130.606
902,41.7886
903,-132.811
904,45.5853
905,-93.1472
906,-62.6619
907,-27.354
908,-36.6393
909,-78.2075
910,41.9006
911,-80.7267
912,48.2456
913,-18.79
914,15.2083
915,-51.6809
916,-36.0691
917,-36.9556
918,-97.9573
919,-50.8318
920,-67.4551
921,-137.715
922,-38.7476
923,-107.477
924,-63.2207
925,-78.1719
926,-58.583
927,-34.3994
928,-115.204
929,33.4023
930,-98.7158
931,-98.761
932,-88.4287
933,-49.521
934,-150.007
935,-52.4536
936,-107.013
937,-80.436
938,-33.4863
939,-137.381
940,-90.2336
941,76.8525
942,-152.965
943,-20.7822
944,-45.1597
945,-46.0303
946,-100.444
947,-66.7168
948,-52.6943
949,-137.561
950,-72.4736
951,-106.45
952,-85.2266
953,-97.8628
954,-37.4756
955,-126.286
956,-10.7998
957,-91.6743
958,66.7656
959,-145.744
960,50.9626
961,-115.542
962,-64.2271
963,-35.3916
964,-106.948
965,-93.7405
966,-18.3499
967,-129.621
968,4.18384
969,-83.9597
970,-30.334
971,-45.6941
972,-46.0725
973,0.978516
974,-67.6006
975,-17.0286
976,-59.2551
977,-43.7432
978,-50.3027
979,-50.3289
980,-58.4785
981,-99.7766
982,-46.6531
983,1.26709
984,-149.717
985,100.887
986,-154.538
987,6.04468
988,-16.3506
989,-84.3894
990,-46.3442
991,-48.7827
992,-62.123
993,-50.4268
994,-97.2991
995,-35.8889
996,-169.833
997,-17.3098
998,-27.9856
999,-148.126
1000,53.7588
1001,-99.627
1002,11.1797
1003,-102.623
1004,54.3589
1005,-63.5776
1006,-68.9575
1007,-28.8965
1008,-31.3223
1009,-137.54
1010,1.49658
1011,-163.887
1012,-11.5962
1013,-58.5371
1014,-83.3887
1015,-76.2085
1016,1.67627
1017,-69.0103
1018,-34.0776
1019,-22.1797
1020,-64.5757
1021,-73.3306
1022,-23.541
1023,-32.7798
1024,-131.511
1025,-52.5027
1026,-135.585
1027,-23.8843
1028,-80.4126
1029,-51.8975
1030,-0.197388
1031,-91.2249
1032,15.3044
1033,44.0237
1034,-128.979
1035,50.0057
1036,-168.351
1037,-17.5248
1038,-25.3895
1039,-110.587
1040,-71.4004
1041,-20.9639
1042,-110.33
1043,1.82178
1044,-94.1335
1045,42.8831
1046,-81.5569
1047,29.3604
1048,10.8083
1049,-68.8022
1050,-19.7988
1051,-67.8413
1052,-30.6023
1053,-107.422
1054,-6.72168
1055,-96.376
1056,-63.8511
1057,-28.4194
1058,23.8794
1059,-118.903
1060,63.9463
1061,-64.4666
1062,-5.52686
1063,40.9116
1064,-103.999
1065,-96.04
1066,60.3037
1067,-110.86
1068,-64.8901
1069,-59.6567
1070,-37.4771
1071,-76.3945
1072,8.0459
1073,-36.2729
1074,-63.0376
1075,11.6252
1076,-63.5259
1077,47.3765
1078,-66.3804
1079,9.78638
1080,-110.563
1081,-10.4509
1082,-38.2156
1083,-48.2075
1084,-98.5923
1085,14.1318
1086,-102.879
1087,1.43652
1088,-34.9888
1089,-32.312
1090,-65.1475
1091,34.032
1092,-64.9058
1093,-9.90552
1094,18.0442
1095,-61.7097
1096,-51.9106
1097,-0.72876
1098,-64.0393
1099,-100.227
1100,-38.1575
1101,-31.2324
1102,-0.895996
1103,-84.4929
1104,11.7566
1105,-25.1357
1106,-43.0303
1107,1.41943
1108,52.5911
1109,-123.062
1110,48.1443
1111,-102.387
1112,5.98657
1113,-35.5632
1114,-64.6741
1115,-138.908
1116,43.5798
1117,-112.423
1118,-10.8655
1119,-44.2939
1120,-20.6829
1121,-28.5669
1122,5.25122
1123,39.4502
1124,-127.238
1125,25.9878
1126,-76.5806
1127,-40.9258
1128,-101.488
1129,-37.5552
1130,-113.208
1131,-36.5015
1132,-33.668
1133,11.2051
1134,-84.4829
1135,37.7104
1136,-54.0898
1137,3.31592
1138,42.7812
1139,-128.823
1140,-23.8931
1141,-11.8574
1142,-94.8818
1143,-31.6016
1144,-148.332
1145,-31.8027
1146,-108.932
1147,-20.2039
1148,23.8408
1149,-80.7393
1150,65.7175
1151,-61.2065
1152,47.4867
1153,-34.6338
1154,-68.9406
1155,9.08215
1156,-107.49
1157,7.59265
1158,24.1094
1159,-207.501
1160,119.112
1161,-178.297
1162,37.2518
1163,-16.371
1164,-77.5378
1165,22.5957
1166,-13.7546
1167,17.2581
1168,-26.4182
1169,-87.437
1170,27.3174
1171,-142.087
1172,43.7966
1173,-62.1421
1174,-133.326
1175,70.3757
1176,-126.451
1177,78.6689
1178,-77.4109
1179,64.1201
1180,-7.16724
1181,-38.009
1182,54.2825
1183,-18.0813
1184,-114.498
1185,63.9778
1186,-117.604
1187,49.4966
1188,-52.8777
1189,-127.477
1190,24.4797
1191,-14.8003
1192,8.15967
1193,-110.157
1194,18.4663
1195,4.70728
