R,pbit_acc0.99,pbit_acc0.95,pbit_acc0.9,pbit_acc0.85,pkey_acc0.99,pkey_acc0.95,pkey_acc0.9,pkey_acc0.85
1.500000000000000000e+01,9.999999999993950395e-01,9.999998170426611654e-01,9.999663751120309030e-01,9.993903931923115991e-01,9.999999999600726053e-01,9.999879248874370408e-01,9.977831808632638966e-01,9.605528087856883834e-01
1.600000000000000000e+01,9.999999999993953725e-01,9.999998170426620536e-01,9.999663751120313471e-01,9.993903931923115991e-01,9.999999999600945877e-01,9.999879248874956605e-01,9.977831808632930954e-01,9.605528087856883834e-01
1.800000000000000000e+01,9.999999999999769074e-01,9.999999671285764169e-01,9.999885355640016904e-01,9.997049709912573245e-01,9.999999999984758858e-01,9.999978304883612168e-01,9.992436290795854159e-01,9.807136210878233396e-01
1.900000000000000000e+01,9.999999999999993339e-01,9.999999940606614235e-01,9.999960701176731082e-01,9.998564926310847811e-01,9.999999999999560352e-01,9.999996080037296675e-01,9.997406608909745751e-01,9.905725536284335497e-01
2.000000000000000000e+01,9.999999999999990008e-01,9.999999940606609794e-01,9.999960701176722200e-01,9.998564926310841150e-01,9.999999999999340528e-01,9.999996080037003576e-01,9.997406608909159553e-01,9.905725536283900290e-01
2.200000000000000000e+01,9.999999999999993339e-01,9.999999989218998353e-01,9.999986469350244933e-01,9.999299048655762023e-01,9.999999999999560352e-01,9.999999288453915725e-01,9.999107016385366808e-01,9.953842444739325890e-01
2.300000000000000000e+01,1.000000000000001332e+00,9.999999998035582482e-01,9.999995324231774063e-01,9.999656432761038216e-01,1.000000000000087930e+00,9.999999870348444952e-01,9.999691403986613603e-01,9.977349862928013291e-01
2.500000000000000000e+01,9.999999999999993339e-01,9.999999999640871717e-01,9.999998379165819795e-01,9.999831104242399293e-01,9.999999999999560352e-01,9.999999976297533344e-01,9.999893025507617939e-01,9.988858996573429794e-01
2.700000000000000000e+01,1.000000000000000000e+00,9.999999999934203743e-01,9.999999436643078887e-01,9.999916760449715225e-01,1.000000000000000000e+00,9.999999995657447016e-01,9.999962818511282103e-01,9.994507675649794143e-01
2.900000000000000000e+01,9.999999999999995559e-01,9.999999999987849719e-01,9.999999803738585102e-01,9.999958884948613180e-01,9.999999999999706901e-01,9.999999999198081468e-01,9.999987046754879039e-01,9.997286769177645693e-01
3.100000000000000000e+01,9.999999999999974465e-01,9.999999999997751798e-01,9.999999931487945082e-01,9.999979652326705937e-01,9.999999999998314681e-01,9.999999999851618693e-01,9.999995478205382371e-01,9.998657142367701756e-01
3.300000000000000000e+01,1.000000000000001332e+00,9.999999999999610312e-01,9.999999976040532257e-01,9.999989912709449369e-01,1.000000000000087930e+00,9.999999999974280573e-01,9.999998418675252188e-01,9.999334260649299644e-01
3.500000000000000000e+01,9.999999999999993339e-01,9.999999999999942268e-01,9.999999991607750882e-01,9.999994991598926131e-01,9.999999999999560352e-01,9.999999999996189715e-01,9.999999446111573764e-01,9.999669450909602908e-01
3.800000000000000000e+01,9.999999999999986677e-01,9.999999999999961142e-01,9.999999997056211454e-01,9.999997509881575208e-01,9.999999999999120703e-01,9.999999999997435385e-01,9.999999805709958167e-01,9.999835653514004274e-01
4.100000000000000000e+01,1.000000000000001332e+00,9.999999999999961142e-01,9.999999999636349779e-01,9.999999382231788969e-01,1.000000000000087930e+00,9.999999999997435385e-01,9.999999975999085411e-01,9.999959227379933147e-01
4.400000000000000000e+01,9.999999999999997780e-01,1.000000000000006661e+00,9.999999999872107859e-01,9.999999691811531921e-01,9.999999999999853451e-01,1.000000000000439648e+00,9.999999991559118673e-01,9.999979659581480496e-01
4.700000000000000000e+01,9.999999999999914513e-01,9.999999999999841238e-01,9.999999999983972820e-01,9.999999923089578635e-01,9.999999999994357847e-01,9.999999999989521715e-01,9.999999998942206147e-01,9.999994923913458900e-01
5.000000000000000000e+01,1.000000000000004441e+00,1.000000000000017764e+00,9.999999999994546585e-01,9.999999961532208825e-01,1.000000000000293099e+00,1.000000000001172396e+00,9.999999999640074577e-01,9.999997461126099996e-01
5.400000000000000000e+01,9.999999999999845679e-01,9.999999999999678035e-01,9.999999999998923084e-01,9.999999990355563639e-01,9.999999999989814814e-01,9.999999999978750331e-01,9.999999999928923522e-01,9.999999363467220181e-01
5.800000000000000000e+01,9.999999999999831246e-01,9.999999999999832356e-01,9.999999999999793499e-01,9.999999997575941268e-01,9.999999999988862243e-01,9.999999999988935517e-01,9.999999999986370902e-01,9.999999840012124830e-01
6.200000000000000000e+01,9.999999999999911182e-01,9.999999999999829026e-01,9.999999999999844569e-01,9.999999999389355132e-01,9.999999999994138022e-01,9.999999999988715693e-01,9.999999999989741539e-01,9.999999959697438712e-01
6.600000000000000000e+01,9.999999999999952260e-01,1.000000000000002220e+00,1.000000000000002887e+00,9.999999999845973209e-01,9.999999999996849187e-01,1.000000000000146549e+00,1.000000000000190514e+00,9.999999989834231773e-01
7.100000000000000000e+01,1.000000000000004885e+00,9.999999999999966693e-01,9.999999999999925615e-01,9.999999999980352383e-01,1.000000000000322409e+00,9.999999999997801758e-01,9.999999999995090594e-01,9.999999998703257287e-01
7.600000000000000000e+01,1.000000000000011324e+00,1.000000000000002220e+00,1.000000000000010214e+00,9.999999999995126121e-01,1.000000000000747402e+00,1.000000000000146549e+00,1.000000000000674127e+00,9.999999999678323981e-01
8.200000000000000000e+01,9.999999999999786837e-01,9.999999999999409361e-01,9.999999999999359401e-01,9.999999999998783196e-01,9.999999999985931254e-01,9.999999999961017849e-01,9.999999999957720487e-01,9.999999999919690907e-01
8.800000000000000000e+01,1.000000000000035971e+00,1.000000000000043965e+00,1.000000000000041078e+00,1.000000000000023093e+00,1.000000000002374101e+00,1.000000000002901679e+00,1.000000000002711165e+00,1.000000000001524114e+00
9.400000000000000000e+01,1.000000000000017986e+00,1.000000000000018208e+00,1.000000000000038858e+00,1.000000000000039968e+00,1.000000000001187050e+00,1.000000000001201705e+00,1.000000000002564615e+00,1.000000000002637890e+00
1.010000000000000000e+02,1.000000000000000444e+00,9.999999999999888978e-01,9.999999999999801270e-01,9.999999999999938938e-01,1.000000000000029310e+00,9.999999999992672528e-01,9.999999999986883825e-01,9.999999999995969890e-01
1.080000000000000000e+02,1.000000000000014433e+00,1.000000000000020650e+00,1.000000000000014877e+00,1.000000000000008882e+00,1.000000000000952571e+00,1.000000000001362910e+00,1.000000000000981881e+00,1.000000000000586198e+00
1.160000000000000000e+02,9.999999999999764633e-01,9.999999999999840128e-01,9.999999999999826805e-01,9.999999999999817923e-01,9.999999999984465759e-01,9.999999999989448440e-01,9.999999999988569144e-01,9.999999999987982946e-01
1.240000000000000000e+02,1.000000000000055955e+00,1.000000000000069944e+00,1.000000000000054623e+00,1.000000000000061506e+00,1.000000000003693046e+00,1.000000000004616307e+00,1.000000000003605116e+00,1.000000000004059419e+00
1.330000000000000000e+02,1.000000000000000222e+00,1.000000000000069944e+00,1.000000000000088596e+00,1.000000000000084377e+00,1.000000000000014655e+00,1.000000000004616307e+00,1.000000000005847323e+00,1.000000000005568879e+00
1.430000000000000000e+02,9.999999999999554801e-01,9.999999999999877875e-01,9.999999999999542588e-01,9.999999999999859002e-01,9.999999999970616837e-01,9.999999999991939781e-01,9.999999999969810816e-01,9.999999999990694111e-01
1.530000000000000000e+02,9.999999999999630296e-01,9.999999999999705791e-01,9.999999999999890088e-01,9.999999999999723554e-01,9.999999999975599518e-01,9.999999999980582199e-01,9.999999999992745803e-01,9.999999999981754595e-01
1.640000000000000000e+02,9.999999999999868994e-01,9.999999999999873435e-01,9.999999999999736877e-01,9.999999999999958922e-01,9.999999999991353583e-01,9.999999999991646682e-01,9.999999999982633891e-01,9.999999999997288835e-01
1.760000000000000000e+02,9.999999999999162892e-01,9.999999999999201750e-01,9.999999999998806510e-01,9.999999999998615552e-01,9.999999999944750861e-01,9.999999999947315477e-01,9.999999999921229676e-01,9.999999999908626425e-01
1.890000000000000000e+02,1.000000000000081934e+00,1.000000000000053069e+00,1.000000000000099254e+00,1.000000000000080158e+00,1.000000000005407674e+00,1.000000000003502532e+00,1.000000000006550760e+00,1.000000000005290435e+00
2.030000000000000000e+02,1.000000000000102585e+00,1.000000000000048850e+00,1.000000000000039746e+00,1.000000000000080158e+00,1.000000000006770584e+00,1.000000000003224088e+00,1.000000000002623235e+00,1.000000000005290435e+00
2.170000000000000000e+02,9.999999999998548939e-01,9.999999999998582245e-01,9.999999999998587796e-01,9.999999999998445688e-01,9.999999999904229941e-01,9.999999999906428183e-01,9.999999999906794557e-01,9.999999999897415393e-01
2.330000000000000000e+02,9.999999999999482636e-01,9.999999999998835376e-01,9.999999999999054090e-01,9.999999999999207301e-01,9.999999999965853981e-01,9.999999999923134819e-01,9.999999999937569939e-01,9.999999999947681850e-01
2.500000000000000000e+02,1.000000000000059286e+00,1.000000000000048406e+00,1.000000000000005773e+00,1.000000000000024647e+00,1.000000000003912870e+00,1.000000000003194778e+00,1.000000000000381029e+00,1.000000000001626699e+00
2.680000000000000000e+02,1.000000000000024869e+00,1.000000000000012434e+00,1.000000000000027089e+00,1.000000000000008660e+00,1.000000000001641354e+00,1.000000000000820677e+00,1.000000000001787903e+00,1.000000000000571543e+00
2.880000000000000000e+02,1.000000000000025313e+00,1.000000000000004885e+00,9.999999999999994449e-01,1.000000000000033307e+00,1.000000000001670664e+00,1.000000000000322409e+00,9.999999999999633626e-01,1.000000000002198242e+00
3.080000000000000000e+02,1.000000000000240030e+00,1.000000000000242473e+00,1.000000000000254019e+00,1.000000000000239586e+00,1.000000000015841994e+00,1.000000000016003199e+00,1.000000000016765256e+00,1.000000000015812684e+00
3.310000000000000000e+02,9.999999999999886757e-01,9.999999999999114042e-01,9.999999999999320544e-01,9.999999999999659162e-01,9.999999999992525979e-01,9.999999999941526774e-01,9.999999999955155872e-01,9.999999999977504661e-01
3.550000000000000000e+02,9.999999999999114042e-01,9.999999999999487077e-01,9.999999999999149569e-01,9.999999999999048539e-01,9.999999999941526774e-01,9.999999999966147080e-01,9.999999999943871565e-01,9.999999999937203565e-01
3.800000000000000000e+02,9.999999999999267253e-01,9.999999999998667732e-01,9.999999999998608891e-01,9.999999999998413491e-01,9.999999999951638685e-01,9.999999999912070336e-01,9.999999999908186776e-01,9.999999999895290426e-01
4.080000000000000000e+02,1.000000000000005995e+00,1.000000000000073497e+00,1.000000000000034861e+00,1.000000000000051292e+00,1.000000000000395683e+00,1.000000000004850786e+00,1.000000000002300826e+00,1.000000000003385292e+00
4.370000000000000000e+02,9.999999999997544187e-01,9.999999999997254418e-01,9.999999999997252198e-01,9.999999999997183364e-01,9.999999999837916320e-01,9.999999999818791618e-01,9.999999999818645069e-01,9.999999999814102036e-01
4.690000000000000000e+02,1.000000000000621059e+00,1.000000000000679234e+00,1.000000000000570877e+00,1.000000000000577982e+00,1.000000000040989878e+00,1.000000000044829473e+00,1.000000000037677861e+00,1.000000000038146819e+00
5.030000000000000000e+02,1.000000000000291100e+00,1.000000000000382139e+00,1.000000000000396794e+00,1.000000000000389022e+00,1.000000000019212631e+00,1.000000000025221158e+00,1.000000000026188385e+00,1.000000000025675462e+00
5.400000000000000000e+02,1.000000000000357714e+00,1.000000000000264233e+00,1.000000000000268230e+00,1.000000000000352163e+00,1.000000000023609115e+00,1.000000000017439383e+00,1.000000000017703172e+00,1.000000000023242741e+00
5.790000000000000000e+02,9.999999999999590328e-01,9.999999999999193978e-01,9.999999999998387956e-01,9.999999999997906119e-01,9.999999999972961628e-01,9.999999999946802554e-01,9.999999999893605107e-01,9.999999999861803879e-01
