sample,welch_t
945,31.0991
946,33.4265
947,33.6061
948,27.2361
949,28.785
950,30.8962
951,34.1849
952,34.229
953,6.37998
954,22.5285
955,6.53198
956,12.9211
957,30.6395
958,18.0893
959,26.8531
960,27.9337
961,25.4771
962,28.7782
963,23.6469
964,24.771
965,32.2187
966,30.9644
967,30.9979
968,18.8411
969,10.8912
970,15.7414
971,7.05413
972,20.8889
973,22.8937
974,17.3528
975,27.2844
976,23.6864
977,23.9434
978,24.2553
979,21.7901
980,25.1906
981,26.268
982,26.7875
983,27.0532
984,7.16766
985,28.6317
986,10.2082
987,8.07444
988,21.93
989,16.1617
990,22.159
991,31.1231
992,26.6337
993,31.319
994,25.6598
995,23.7079
996,31.8161
997,30.5086
998,28.6889
999,27.0167
1000,9.38462
1001,32.6703
1002,10.173
1003,15.8648
1004,25.6337
1005,17.9401
1006,33.1073
1007,30.8805
1008,26.8835
1009,32.6358
1010,28.111
1011,26.8192
1012,29.6315
1013,30.7043
1014,31.6583
1015,11.3878
1016,9.25181
1017,6.19117
1018,5.78624
1019,24.0608
1020,20.5895
1021,16.9295
1022,24.2799
1023,20.6002
1024,19.2836
1025,21.3308
1026,18.853
1027,26.321
1028,25.6683
1029,24.8972
1030,22.3349
1031,5.63554
1032,7.12653
1033,1.01514
1034,7.14316
1035,24.4044
1036,15.4349
1037,15.2467
1038,14.8009
1039,13.7025
1040,16.5866
1041,15.5531
1042,14.7102
1043,19.6286
1044,19.5146
1045,20.6678
1046,17.6012
1047,6.47581
1048,16.8389
1049,3.82825
1050,11.8224
1051,18.3223
1052,12.188
1053,20.2128
1054,21.3673
1055,18.0391
1056,20.4427
1057,16.8928
1058,18.5699
1059,22.3047
1060,21.5545
1061,21.7319
1062,6.81573
1063,13.5297
1064,6.92834
1065,4.83901
1066,16.8485
1067,14.5813
1068,15.0858
1069,19.8573
1070,18.5317
1071,20.8306
1072,18.5121
1073,16.7871
1074,19.555
1075,21.1525
1076,21.7691
1077,23.3203
1078,4.94803
1079,18.9232
1080,5.52649
1081,9.29424
1082,21.0066
1083,11.5925
1084,20.67
1085,22.9886
1086,20.7768
1087,22.1997
1088,19.1881
1089,19.5778
1090,24.0427
1091,21.2069
1092,22.5317
1093,14.147
1094,7.91509
1095,5.46132
1096,2.1933
1097,14.9981
1098,18.641
1099,13.176
1100,15.5567
1101,15.2769
1102,15.8983
1103,14.4692
1104,11.7655
1105,15.4116
1106,19.15
1107,18.2457
1108,17.3811
1109,3.94492
1110,1.15246
1111,-0.0103043
1112,3.11274
1113,13.9065
1114,10.9939
1115,9.72353
1116,10.9106
1117,8.06863
1118,10.5514
1119,8.96021
1120,9.37132
1121,15.6978
1122,14.0341
1123,11.9452
1124,11.0297
1125,5.87022
1126,19.2712
1127,4.52125
1128,6.14084
1129,13.1136
1130,9.39343
1131,18.7687
1132,18.2542
1133,14.6032
1134,18.7005
1135,14.6551
1136,14.6279
1137,16.9857
1138,18.4387
1139,17.9898
1140,6.70724
1141,0.945792
1142,-1.44457
1143,1.24659
1144,13.2965
1145,13.0166
1146,9.88199
1147,10.6999
1148,6.81986
1149,7.07571
1150,9.2956
1151,8.61845
1152,12.6683
1153,14.2681
1154,12.3437
1155,10.6906
1156,5.70463
