sample,mean0_minus_mean1
975,1413.54
976,1390.99
977,1420.84
978,1356.55
979,1400.25
980,1436.55
981,1390.91
982,1407.11
983,1420.83
984,1955.85
985,2095.69
986,1810.42
987,1379.17
988,1331.74
989,1537.87
990,1656.94
991,1681.9
992,1712.91
993,1733.16
994,1526.8
995,1600.07
996,1655.88
997,1656.64
998,1500.52
999,1467.13
1000,2283.73
1001,2323.88
1002,1868.1
1003,1467.75
1004,1443.17
1005,1688.98
1006,1835.71
1007,1681.16
1008,1741.36
1009,1779.68
1010,1719.68
1011,1582.6
1012,1542.43
1013,1641.96
1014,1662.66
1015,1859.76
1016,917.068
1017,714.318
1018,1111.16
1019,1609.12
1020,1644.34
1021,1505.9
1022,1279.43
1023,1205.17
1024,1132.29
1025,1219.62
1026,1263.6
1027,1425.31
1028,1374.82
1029,1287.39
1030,1215.79
1031,1538.57
1032,511.48
1033,178.625
1034,959.062
1035,1367.52
1036,1413.63
1037,994.464
1038,811.477
1039,901.506
1040,898.742
1041,939.969
1042,927.984
1043,1008.91
1044,1064.33
1045,1067.95
1046,1017.21
1047,1466.8
1048,1250.55
1049,809.141
1050,994.619
1051,1185.55
1052,1257.49
1053,1103.57
1054,1198.72
1055,1168.19
1056,1134.21
1057,1078.46
1058,1105.26
1059,1162.59
1060,1168.41
1061,1135.56
1062,1378.27
1063,1134.47
1064,962.137
1065,852.493
1066,1057.49
1067,1239.53
1068,1214.17
1069,1072.51
1070,1202.03
1071,1172.01
1072,1066.85
1073,1090.35
1074,1042.78
1075,1100.34
1076,1147.37
1077,1254.22
1078,1624.36
1079,1502.57
1080,1137.47
1081,1104.31
1082,1154.74
1083,1183.62
1084,1234.58
1085,1263.14
1086,1372.37
1087,1176.71
1088,1186.07
1089,1209.11
1090,1214.86
1091,1159.21
1092,1166.15
1093,1233.37
1094,1004.58
1095,443.725
1096,410.963
1097,1084.57
1098,1289.53
1099,1155.37
1100,820.74
1101,927.433
1102,960.728
1103,801.455
1104,751.941
1105,888.188
1106,1017.91
1107,971.096
1108,909.337
1109,1086.52
1110,85.0332
1111,-1.8418
1112,540.615
1113,852.161
1114,1064.96
1115,733.549
1116,582.943
1117,522.453
1118,582.613
1119,539.368
1120,626.282
1121,829.681
1122,776.587
1123,618.275
1124,610.492
1125,1490.6
1126,1359.65
1127,868.824
1128,589.167
1129,757.646
1130,901.632
1131,1059.84
1132,1023.07
1133,948.957
1134,1013.96
1135,911.417
1136,856.674
1137,888.131
1138,961.357
1139,922.087
1140,1106.82
1141,91.6855
1142,-167.377
1143,237.387
1144,895.543
1145,1053.57
1146,857.474
1147,573.394
1148,404.135
1149,423.167
1150,537.176
1151,574.832
1152,693.492
1153,744.798
1154,644.463
1155,581.135
1156,1504
1157,1012.89
1158,400.829
1159,344.305
1160,650.225
1161,929.904
1162,873.593
1163,745.704
1164,806.88
1165,818.175
1166,788.763
1167,575.217
1168,739.385
1169,840.03
1170,853.8
1171,698.438
1172,772.807
1173,789.472
1174,553.944
1175,767.352
1176,838.386
1177,858.248
1178,736.741
1179,778.823
1180,659.576
1181,769.835
1182,744.896
1183,742.176
1184,727.556
1185,728.635
1186,757.223
1187,1081.39
1188,516.595
1189,112.729
1190,244.592
1191,790.559
1192,966.377
1193,663.862
1194,493.957
1195,706.315
1196,712.769
1197,459.719
1198,428.994
1199,601.451
1200,676.405
1201,646.073
1202,626.95
1203,1395.69
1204,1608.35
1205,958.498
1206,533.505
