sample,mean_class0,mean_class1
4507,4770.54,4555.48
4508,4975.75,4876.6
4509,5075.87,4936.88
4510,4567.24,4507.67
4511,4382.78,4249.28
4512,4551.38,4331.51
4513,4597.81,4453.32
4514,4608.55,4526.84
4515,5083.63,4968.99
4516,4586.47,4458.05
4517,4835.48,4679.64
4518,4526.13,4292.01
4519,4312.26,4204.57
4520,4405.89,4295.9
4521,4535,4421.76
4522,4517.31,4321.43
4523,4553.08,4471.25
4524,5093.95,4970.61
4525,4603.31,4428.81
4526,4365.9,4188.65
4527,4284.46,4145.61
4528,4330.43,4214.99
4529,4452.03,4317.76
4530,4425.68,4307.21
4531,4622.92,4454.3
4532,4794.54,4719.6
4533,4506.09,4312.81
4534,4213.55,4063.77
4535,4184.6,4039.73
4536,4300.83,4219.73
4537,4308.13,4161.11
4538,4254.61,4009.63
4539,4752.2,4583.49
4540,4678.95,4569.32
4541,4264.34,4200.56
4542,4100.48,3939.44
4543,4184.56,3911.43
4544,4223.15,4046.22
4545,4204.39,4211.83
4546,4422.91,4262.08
4547,4574.61,4364.94
4548,4476.93,4266.91
4549,4098.9,3987.51
4550,4034.09,3902.46
4551,4032.3,3832.02
4552,4174.07,3997.67
4553,4136.55,3959.33
4554,4098.69,4028.37
4555,4573.51,4532
4556,4410.84,4212.9
4557,4007.7,3777.84
4558,3834.58,3719.22
4559,4016.95,3885.98
4560,4033.66,3915.31
4561,4089.09,3884.7
4562,4261.95,4103.6
4563,4338.82,4137.2
4564,4151.47,4006.6
4565,3876.54,3762.29
4566,3849.08,3649.49
4567,3844.73,3705.38
4568,3940.84,3744.06
4569,3861.15,3677.2
4570,4351.49,4137.16
4571,4247.02,4185.28
4572,3956.06,3807.3
4573,3719.97,3543.99
4574,3727.61,3479.48
4575,3728.8,3631.78
4576,3920.16,3726.22
4577,3957.51,3743.38
4578,4090.54,3991.23
4579,4106.28,3943.15
4580,3762.23,3695.18
4581,3643.52,3495.41
4582,3592.31,3400.07
4583,3729.18,3493.19
4584,3689.66,3619.18
4585,3731.23,3622.85
4586,4077.41,3844.87
4587,4106.96,3904.38
4588,3660.49,3477.69
4589,3434.6,3285.35
4590,3465.21,3391.1
4591,3629.28,3483.24
4592,3728.63,3467.53
4593,3918.67,3682.88
4594,3738.69,3579.39
4595,3836.55,3714.48
4596,3514.16,3371.04
4597,3406.84,3237.49
4598,3364.24,3197.35
4599,3537.31,3318.74
4600,3480.35,3318.99
4601,3401.85,3249.23
4602,4219.1,4012.96
4603,3624.42,3478.71
4604,3279.95,3165.03
4605,3249.12,3096.29
4606,3354.01,3149.58
4607,3451.18,3267.46
4608,3434.17,3244.36
4609,3531.98,3435.34
4610,3729.23,3650.78
4611,3524.82,3300.5
4612,3181.84,3051.21
4613,3097.37,2915.1
4614,3262.51,3048.01
4615,3327.87,3133.99
4616,3198,3140.82
4617,3687.31,3521.37
4618,3536.12,3237.1
4619,3275.6,3097.83
4620,3097.16,2924.74
4621,3005.57,2907.79
4622,3165.51,3013.42
4623,3238.67,3032.51
4624,3221.75,2962.57
4625,3483.97,3347.98
4626,3458.69,3286.54
4627,3156.04,2908.78
4628,3020.62,2807.12
4629,2849.98,2769.25
4630,3003.82,2906.64
4631,3025.82,2792.94
4632,3136.26,2912.96
4633,3376.14,3196.41
4634,3359.04,3239.88
4635,2898.72,2821.76
4636,2787.3,2580.37
4637,2867.34,2598.94
4638,2897.01,2757.93
4639,2973.72,2832.61
4640,3428.29,3269.51
4641,2929.63,2735.56
4642,3125.17,3004.93
4643,2821.16,2646.24
4644,2647.54,2433.37
4645,2716.99,2523.41
4646,2830.07,2718.61
