lda_projection,label
-3.323101073626689583e+01,0.000000000000000000e+00
-2.977691450701946607e+01,0.000000000000000000e+00
-5.492080249249664092e+01,1.000000000000000000e+00
-3.506587802273500643e+01,0.000000000000000000e+00
-6.399729826608355410e+01,1.000000000000000000e+00
-3.494818988429909723e+01,0.000000000000000000e+00
-3.387087335780556430e+01,0.000000000000000000e+00
-3.599817964323361252e+01,0.000000000000000000e+00
-3.383790113140599232e+01,1.000000000000000000e+00
-3.536897823423115739e+01,1.000000000000000000e+00
-7.067660335955380901e+01,0.000000000000000000e+00
-6.597371307174131516e+01,1.000000000000000000e+00
-6.617674621051665440e+01,1.000000000000000000e+00
-3.429644271544167822e+01,0.000000000000000000e+00
-3.387828272956386400e+01,0.000000000000000000e+00
-6.056022701245102979e+01,1.000000000000000000e+00
-3.260298522554812450e+01,0.000000000000000000e+00
-3.304722440386109383e+01,0.000000000000000000e+00
-6.695562790430273026e+01,1.000000000000000000e+00
-3.299879309073765654e+01,0.000000000000000000e+00
-5.999586113120747655e+01,1.000000000000000000e+00
-7.066591404905121010e+01,0.000000000000000000e+00
-7.094940294609696707e+01,0.000000000000000000e+00
-3.031097955877935135e+01,0.000000000000000000e+00
-6.090986856684334327e+01,1.000000000000000000e+00
-6.371572149146362563e+01,1.000000000000000000e+00
-7.056590974152638296e+01,0.000000000000000000e+00
-3.471148170500602248e+01,0.000000000000000000e+00
-3.525648351168796069e+01,0.000000000000000000e+00
-3.154142237226531975e+01,0.000000000000000000e+00
-3.255140835866718163e+01,1.000000000000000000e+00
-6.655775738025396038e+01,0.000000000000000000e+00
-5.559998765937069010e+01,1.000000000000000000e+00
-6.509148331702004953e+01,1.000000000000000000e+00
-6.177403300151639343e+01,1.000000000000000000e+00
-2.996118873447328212e+01,0.000000000000000000e+00
-5.434997297045180886e+01,1.000000000000000000e+00
-3.254301639405589697e+01,0.000000000000000000e+00
-6.940786442130905698e+01,1.000000000000000000e+00
-3.591958887281227675e+01,0.000000000000000000e+00
-3.097787284061129398e+01,0.000000000000000000e+00
-6.776728100032208602e+01,1.000000000000000000e+00
-3.224776504646975894e+01,0.000000000000000000e+00
-5.984352967966862025e+01,0.000000000000000000e+00
-6.299776926815231803e+01,1.000000000000000000e+00
-6.134624898146193317e+01,1.000000000000000000e+00
-6.137974624299814508e+01,0.000000000000000000e+00
-3.090381037855390289e+01,0.000000000000000000e+00
-6.929410895237181478e+01,0.000000000000000000e+00
-5.955005124821111906e+01,0.000000000000000000e+00
-6.603929488828357819e+01,1.000000000000000000e+00
-3.241485010980787962e+01,0.000000000000000000e+00
-3.247750437366889997e+01,1.000000000000000000e+00
-3.419755131974021367e+01,0.000000000000000000e+00
-4.609928469477003432e+01,1.000000000000000000e+00
-6.197471573885654550e+01,1.000000000000000000e+00
-6.689309394848106649e+01,1.000000000000000000e+00
-6.138649885579657450e+01,1.000000000000000000e+00
