time_us,mean_m0,mean_m1,diff,welch_t
4.336000000000000409e-01,-2.335179487179487296e+03,-2.427193675889328006e+03,9.201418870984070963e+01,1.931234696573586485e+00
4.344000000000000083e-01,-2.520010796221322380e+03,-2.689011857707509989e+03,1.690010614861876093e+02,3.625007628036747143e+00
4.351999999999999758e-01,-2.323433198380566864e+03,-2.326092226613965522e+03,2.659028233398657903e+00,5.614626035021608175e-02
4.359999999999999987e-01,-2.123400809716599269e+03,-2.238988142292490011e+03,1.155873325758907413e+02,2.435773071140192592e+00
4.367999999999999661e-01,-2.072356275303643542e+03,-2.106687747035573011e+03,3.433147173192946866e+01,7.140364582301956808e-01
4.375999999999999890e-01,-6.422456140350876694e+02,-6.560210803689064960e+02,1.377546633381882657e+01,2.593973274880092550e-01
4.384000000000000119e-01,-5.332469635627530806e+02,-4.918471673254281882e+02,-4.139979623732489245e+01,-8.712718444972432641e-01
4.392000000000000348e-01,-1.773257759784075461e+03,-1.833148880105401759e+03,5.989112032132629793e+01,1.240202235365290839e+00
4.400000000000000022e-01,-2.696118758434547999e+03,-2.736147562582345017e+03,4.002880414779701823e+01,8.409298186489504445e-01
4.407999999999999696e-01,-2.746558704453441351e+03,-2.921992094861660007e+03,1.754333904082186564e+02,3.757916238704215317e+00
4.415999999999999925e-01,-2.163390013495276435e+03,-2.256105401844532480e+03,9.271538834925604533e+01,1.983084783692918851e+00
4.424000000000000155e-01,-1.934510121457489959e+03,-2.016210803689064505e+03,8.170068223157454668e+01,1.715876489926017268e+00
4.431999999999999829e-01,-1.905403508771929864e+03,-1.839304347826086996e+03,-6.609916094584286839e+01,-1.337444984613590737e+00
4.440000000000000058e-01,-1.462153846153846189e+03,-1.550081686429512501e+03,8.792784027566631266e+01,1.617133015885732217e+00
4.448000000000000287e-01,-1.659076923076923094e+03,-1.745032938076416258e+03,8.595601499949316349e+01,1.783992000384881038e+00
4.455999999999999961e-01,-2.252005398110661190e+03,-2.367662714097496519e+03,1.156573159868353287e+02,2.435433170664116798e+00
4.463999999999999635e-01,-2.691109311740890462e+03,-2.729992094861660007e+03,3.888278312076954535e+01,8.111928948819359109e-01
4.471999999999999864e-01,-2.529684210526315837e+03,-2.631083003952569015e+03,1.013987934262531780e+02,2.148899479900383103e+00
4.480000000000000093e-01,-2.377414304993252244e+03,-2.504010540184453021e+03,1.265962351912007762e+02,2.721155612147302616e+00
4.487999999999999767e-01,-2.281975708502024190e+03,-2.414123847167325494e+03,1.321481386653013033e+02,2.789853771652924586e+00
4.495999999999999996e-01,-1.455330634278002663e+03,-1.441897233201581003e+03,-1.343340107642166004e+01,-2.286995190609122652e-01
4.504000000000000226e-01,1.872755735492577514e+03,2.609159420289855007e+03,-7.364036847972774922e+02,-1.372597873489629450e+01
4.511999999999999900e-01,1.810137651821862391e+03,2.559578392621870989e+03,-7.494407408000085979e+02,-1.352800664601645764e+01
4.520000000000000129e-01,-1.431578947368421041e+03,-1.238766798418972257e+03,-1.928121489494487832e+02,-3.524147589867021590e+00
4.527999999999999803e-01,-3.218224021592442568e+03,-3.429270092226613997e+03,2.110460706341714285e+02,4.514705115439994643e+00
4.536000000000000032e-01,-2.758477732793522136e+03,-2.881517786561264984e+03,1.230400537677428474e+02,2.548755710204252178e+00
4.543999999999999706e-01,-1.285095816464237487e+03,-1.156469038208168740e+03,-1.286267782560687465e+02,-2.677724520807303055e+00
4.551999999999999935e-01,-8.790715249662617907e+02,-5.503662714097496291e+02,-3.287052535565121616e+02,-6.884120010053865535e+00
4.560000000000000164e-01,-4.619919028340081013e+02,-2.364374176548089679e+02,-2.255544851791991334e+02,-4.066740261805316337e+00
4.568000000000000393e-01,-4.354763832658569527e+02,-1.156047430830039531e+02,-3.198716401828530138e+02,-6.492685888262082372e+00
4.576000000000000068e-01,-8.103211875843454663e+02,-5.776021080368906269e+02,-2.327190795474548395e+02,-4.769514090589927591e+00
4.583999999999999742e-01,-1.670564102564102541e+03,-1.442234519104084256e+03,-2.283295834600182843e+02,-4.712076019110847724e+00
4.591999999999999971e-01,-2.113986504723347025e+03,-2.091931488801054002e+03,-2.205501592229302332e+01,-4.734153729294918178e-01
4.599999999999999645e-01,-1.978990553306342690e+03,-1.873032938076416258e+03,-1.059576152299264322e+02,-2.232433247905108331e+00
4.607999999999999874e-01,-1.532458839406207744e+03,-1.450413702239789245e+03,-8.204513716641849896e+01,-1.749864751553694475e+00
4.616000000000000103e-01,-1.616151147098515594e+03,-1.431019762845849755e+03,-1.851313842526658391e+02,-3.841364439991666657e+00
4.624000000000000332e-01,3.569058029689608702e+03,5.254661396574440005e+03,-1.685603366884831303e+03,-1.387843996478064312e+01
4.632000000000000006e-01,7.190369770580296972e+03,1.011343346508563809e+04,-2.923063694505341118e+03,-3.133529547892279155e+01
4.640000000000000235e-01,4.092026990553306405e+03,6.035899868247694030e+03,-1.943872877694387626e+03,-2.048271978579294839e+01
4.647999999999999909e-01,-1.852199730094466986e+03,-1.618803689064558739e+03,-2.333960410299082469e+02,-4.147418526667817851e+00
4.656000000000000139e-01,-3.115098515519568082e+03,-3.349839262187088480e+03,2.347407466675203978e+02,4.848767256037809226e+00
4.663999999999999813e-01,-9.307206477732793246e+02,-4.840895915678524375e+02,-4.466310562054268871e+02,-7.681038660532666817e+00
4.672000000000000042e-01,1.447039136302294310e+03,2.578635046113306998e+03,-1.131595909811012689e+03,-1.963724159541279590e+01
4.680000000000000271e-01,1.534013495276653202e+03,2.831177865612648020e+03,-1.297164370335994818e+03,-2.192130664714993316e+01
4.687999999999999945e-01,1.866105263157894797e+03,3.089707509881422993e+03,-1.223602246723528197e+03,-1.907359397696017567e+01
4.696000000000000174e-01,1.995659919028340028e+03,3.197386034255599498e+03,-1.201726115227259470e+03,-2.082676981291789176e+01
4.703999999999999848e-01,9.612091767881241822e+02,2.064105401844532480e+03,-1.102896225056408184e+03,-1.976423288593816352e+01
4.712000000000000077e-01,-4.192388663967611251e+02,3.528010540184453134e+02,-7.720399204152064385e+02,-1.473084554637484267e+01
4.719999999999999751e-01,-7.475303643724696485e+02,-1.575125164690382178e+02,-5.900178479034314023e+02,-1.205216755940312900e+01
4.727999999999999980e-01,-2.075465587044534459e+02,4.270039525691699396e+02,-6.345505112736234423e+02,-1.254752228740537312e+01
4.736000000000000210e-01,1.494197031039136334e+02,9.723109354413702476e+02,-8.228912323374565858e+02,-1.570409385073656594e+01
4.743999999999999884e-01,3.895276653171389967e+02,1.283963109354413746e+03,-8.944354440372746922e+02,-1.506107884488796600e+01
4.752000000000000113e-01,6.512367071524966377e+03,1.092477470355731202e+04,-4.412407632032345646e+03,-3.241689026874157520e+01
4.759999999999999787e-01,8.330537112010795681e+03,1.336697760210803608e+04,-5.036440490097240399e+03,-3.624496461728015362e+01
4.768000000000000016e-01,3.394936572199730108e+03,5.958239789196310994e+03,-2.563303216996580886e+03,-2.444938279087647715e+01
4.775999999999999690e-01,-1.217468286099865054e+03,-8.958313570487483730e+02,-3.216369290511166810e+02,-6.003429105186484094e+00
4.784000000000000474e-01,-1.641889338731444013e+03,-1.218613965744400502e+03,-4.232753729870435109e+02,-8.137275612693223081e+00
4.792000000000000148e-01,1.108556005398110756e+03,2.741038208168642996e+03,-1.632482202770532240e+03,-2.374068433056987004e+01
4.799999999999999822e-01,2.622272604588394188e+03,5.068057971014492978e+03,-2.445785366426098790e+03,-3.194028146518451905e+01
4.808000000000000052e-01,2.445128205128205082e+03,4.726977602108036990e+03,-2.281849396979831909e+03,-2.969687228248261945e+01
4.815999999999999726e-01,3.136690958164642325e+03,5.498940711462450963e+03,-2.362249753297808638e+03,-3.065600930528423618e+01
4.824000000000000510e-01,2.618817813765182109e+03,4.885754940711462041e+03,-2.266937126946279932e+03,-2.980564812176029221e+01
4.831999999999999629e-01,1.435724696356275217e+03,3.444194993412384520e+03,-2.008470297056109303e+03,-2.893182092595515797e+01
4.840000000000000413e-01,2.914979757085019969e+02,1.721760210803689006e+03,-1.430262235095186952e+03,-2.359591519255575065e+01
4.848000000000000087e-01,2.103967611336032348e+02,1.608094861660079005e+03,-1.397698100526475855e+03,-2.404556152067571517e+01
4.855999999999999761e-01,8.014251012145748518e+02,2.335451910408432013e+03,-1.534026809193857162e+03,-2.515839676721606111e+01
4.863999999999999990e-01,9.333117408906882702e+02,2.610677206851119990e+03,-1.677365465960431720e+03,-2.674398238428569385e+01
4.871999999999999664e-01,7.948696356275303515e+03,9.680527009222661945e+03,-1.731830652947358431e+03,-8.205393919695541882e+00
4.880000000000000449e-01,2.416237516869095998e+04,2.594006851119894418e+04,-1.777693342507984198e+03,-2.344340175777960056e+01
4.887999999999999567e-01,2.116223481781376540e+04,2.289083530961791985e+04,-1.728600491804154444e+03,-1.274750849792564367e+01
4.896000000000000352e-01,4.018180836707152594e+03,5.483172595520421964e+03,-1.464991758813269371e+03,-1.178248575793963404e+01
4.904000000000000026e-01,-2.575028340080971702e+03,-1.327810276679841991e+03,-1.247218063401129712e+03,-2.162838817614638742e+01
4.911999999999999700e-01,7.388070175438596152e+02,1.973038208168642996e+03,-1.234231190624783267e+03,-1.533824594100745387e+01
4.919999999999999929e-01,8.381236167341430701e+03,9.680274044795783993e+03,-1.299037877454353293e+03,-1.883473289010121832e+01
4.927999999999999603e-01,1.002588933873144379e+04,1.129570487483530997e+04,-1.269815536103866179e+03,-2.190017349664783453e+01
4.936000000000000387e-01,1.010241295546558649e+04,1.130801581027667999e+04,-1.205602854811093493e+03,-1.866205933088766500e+01
4.944000000000000061e-01,1.005180026990553233e+04,1.123187351778656193e+04,-1.180073247881029602e+03,-2.015070897525482252e+01
4.952000000000000290e-01,9.018731443994602159e+03,1.025146772068511200e+04,-1.232736276690509840e+03,-2.078775870491140765e+01
4.959999999999999964e-01,5.935157894736842536e+03,6.967399209486166001e+03,-1.032241314749323465e+03,-1.710360015587028570e+01
4.967999999999999639e-01,3.854941970310391298e+03,4.896295125164690035e+03,-1.041353154854298737e+03,-1.986935653442331429e+01
4.975999999999999868e-01,4.694110661268556214e+03,5.601222661396574040e+03,-9.071120001280178258e+02,-1.657883112648628554e+01
4.983999999999999542e-01,5.846456140350876922e+03,6.828690382081686039e+03,-9.822342417308091171e+02,-1.885281813442321663e+01
4.992000000000000326e-01,5.846110661268556214e+03,6.772616600790513985e+03,-9.265059395219577709e+02,-1.762304779179003233e+01
5.000000000000000000e-01,1.959393252361673512e+04,2.063127272727272793e+04,-1.037340203655992809e+03,-5.703453094196784257e+00
5.008000000000000229e-01,2.688855060728744866e+04,2.782001581027667999e+04,-9.314652029892313294e+02,-1.469983367182604361e+01
5.016000000000000458e-01,1.757020242914979826e+04,1.846572859025032812e+04,-8.955261611005298619e+02,-6.368873141253081016e+00
5.024000000000000687e-01,4.074753036437246919e+03,4.814671936758893025e+03,-7.399189003216461060e+02,-1.013160729379148428e+01
5.031999999999999806e-01,1.386925775978407501e+03,2.227857707509881493e+03,-8.409319315314739924e+02,-1.549528723015882115e+01
