time_us,abs_welch_t
4.375999999999999890e-01,2.593973274880092550e-01
4.384000000000000119e-01,8.712718444972432641e-01
4.392000000000000348e-01,1.240202235365290839e+00
4.400000000000000022e-01,8.409298186489504445e-01
4.407999999999999696e-01,3.757916238704215317e+00
4.415999999999999925e-01,1.983084783692918851e+00
4.424000000000000155e-01,1.715876489926017268e+00
4.431999999999999829e-01,1.337444984613590737e+00
4.440000000000000058e-01,1.617133015885732217e+00
4.448000000000000287e-01,1.783992000384881038e+00
4.455999999999999961e-01,2.435433170664116798e+00
4.463999999999999635e-01,8.111928948819359109e-01
4.471999999999999864e-01,2.148899479900383103e+00
4.480000000000000093e-01,2.721155612147302616e+00
4.487999999999999767e-01,2.789853771652924586e+00
4.495999999999999996e-01,2.286995190609122652e-01
4.504000000000000226e-01,1.372597873489629450e+01
4.511999999999999900e-01,1.352800664601645764e+01
4.520000000000000129e-01,3.524147589867021590e+00
4.527999999999999803e-01,4.514705115439994643e+00
4.536000000000000032e-01,2.548755710204252178e+00
4.543999999999999706e-01,2.677724520807303055e+00
4.551999999999999935e-01,6.884120010053865535e+00
4.560000000000000164e-01,4.066740261805316337e+00
4.568000000000000393e-01,6.492685888262082372e+00
4.576000000000000068e-01,4.769514090589927591e+00
4.583999999999999742e-01,4.712076019110847724e+00
4.591999999999999971e-01,4.734153729294918178e-01
4.599999999999999645e-01,2.232433247905108331e+00
4.607999999999999874e-01,1.749864751553694475e+00
4.616000000000000103e-01,3.841364439991666657e+00
4.624000000000000332e-01,1.387843996478064312e+01
4.632000000000000006e-01,3.133529547892279155e+01
4.640000000000000235e-01,2.048271978579294839e+01
4.647999999999999909e-01,4.147418526667817851e+00
4.656000000000000139e-01,4.848767256037809226e+00
4.663999999999999813e-01,7.681038660532666817e+00
4.672000000000000042e-01,1.963724159541279590e+01
4.680000000000000271e-01,2.192130664714993316e+01
4.687999999999999945e-01,1.907359397696017567e+01
4.696000000000000174e-01,2.082676981291789176e+01
4.703999999999999848e-01,1.976423288593816352e+01
4.712000000000000077e-01,1.473084554637484267e+01
4.719999999999999751e-01,1.205216755940312900e+01
4.727999999999999980e-01,1.254752228740537312e+01
4.736000000000000210e-01,1.570409385073656594e+01
4.743999999999999884e-01,1.506107884488796600e+01
4.752000000000000113e-01,3.241689026874157520e+01
4.759999999999999787e-01,3.624496461728015362e+01
4.768000000000000016e-01,2.444938279087647715e+01
4.775999999999999690e-01,6.003429105186484094e+00
4.784000000000000474e-01,8.137275612693223081e+00
4.792000000000000148e-01,2.374068433056987004e+01
4.799999999999999822e-01,3.194028146518451905e+01
4.808000000000000052e-01,2.969687228248261945e+01
4.815999999999999726e-01,3.065600930528423618e+01
4.824000000000000510e-01,2.980564812176029221e+01
4.831999999999999629e-01,2.893182092595515797e+01
4.840000000000000413e-01,2.359591519255575065e+01
4.848000000000000087e-01,2.404556152067571517e+01
4.855999999999999761e-01,2.515839676721606111e+01
4.863999999999999990e-01,2.674398238428569385e+01
4.871999999999999664e-01,8.205393919695541882e+00
4.880000000000000449e-01,2.344340175777960056e+01
4.887999999999999567e-01,1.274750849792564367e+01
4.896000000000000352e-01,1.178248575793963404e+01
4.904000000000000026e-01,2.162838817614638742e+01
4.911999999999999700e-01,1.533824594100745387e+01
4.919999999999999929e-01,1.883473289010121832e+01
4.927999999999999603e-01,2.190017349664783453e+01
4.936000000000000387e-01,1.866205933088766500e+01
4.944000000000000061e-01,2.015070897525482252e+01
4.952000000000000290e-01,2.078775870491140765e+01
4.959999999999999964e-01,1.710360015587028570e+01
4.967999999999999639e-01,1.986935653442331429e+01
4.975999999999999868e-01,1.657883112648628554e+01
4.983999999999999542e-01,1.885281813442321663e+01
4.992000000000000326e-01,1.762304779179003233e+01
5.000000000000000000e-01,5.703453094196784257e+00
5.008000000000000229e-01,1.469983367182604361e+01
5.016000000000000458e-01,6.368873141253081016e+00
5.024000000000000687e-01,1.013160729379148428e+01
5.031999999999999806e-01,1.549528723015882115e+01
5.040000000000000036e-01,9.729955385277694546e+00
5.048000000000000265e-01,1.451170618593766015e+01
5.055999999999999384e-01,1.230376449788494142e+01
5.064000000000000723e-01,1.169143713063322387e+01
5.071999999999999842e-01,1.265730747033574843e+01
5.080000000000000071e-01,1.102818571911422829e+01
5.088000000000000300e-01,9.276980923293224990e+00
5.095999999999999419e-01,1.221572237583955811e+01
5.103999999999999648e-01,1.231404346651434167e+01
5.111999999999999877e-01,9.919031523661081096e+00
5.120000000000000107e-01,3.749651041950842867e+00
5.128000000000000336e-01,1.201435100712975546e+00
5.136000000000000565e-01,2.033386649186968986e-01
5.143999999999999684e-01,1.092051611757619334e+00
5.151999999999999913e-01,8.516455803750229592e+00
5.160000000000000142e-01,5.729079395443370970e+00
5.167999999999999261e-01,3.691706186903788822e+00
5.176000000000000600e-01,1.709130134496140485e+00
5.183999999999999719e-01,4.579837758757515864e+00
5.191999999999999948e-01,1.083237189509582477e+00
5.200000000000000178e-01,1.768559493430740259e+00
5.207999999999999297e-01,2.090431677477838646e-01
5.216000000000000636e-01,3.646388669124651649e+00
5.223999999999999755e-01,1.630027215867629220e+00
5.231999999999999984e-01,2.650347477614543923e+00
5.240000000000000213e-01,1.891831535041194279e+00
5.248000000000000442e-01,1.497465562691950858e+00
5.255999999999999561e-01,2.016888012666980590e+00
5.263999999999999790e-01,3.818131846299267496e-01
5.272000000000000020e-01,3.525817375301643596e-03
5.279999999999999138e-01,2.572585560290121531e-01
5.288000000000000478e-01,3.614808698539085374e-01
5.295999999999999597e-01,1.123841246399627236e+00
5.303999999999999826e-01,1.609205783173910387e+00
5.312000000000000055e-01,5.435421064140983916e-01
5.320000000000000284e-01,1.115126958865324980e+00
5.328000000000000513e-01,6.971534953499366472e-01
5.335999999999999632e-01,1.641144306490482485e+00
5.343999999999999861e-01,8.722900200387531111e-01
5.352000000000000091e-01,9.782626810987032906e-01
5.360000000000000320e-01,8.399543065816379439e-01
5.367999999999999439e-01,9.592451440910951255e-02
5.376000000000000778e-01,8.670689673951035292e-01
5.383999999999999897e-01,2.594564039414174239e+00
5.392000000000000126e-01,1.691643723916020359e-01
5.400000000000000355e-01,2.132039374436432433e-01
5.407999999999999474e-01,3.726546572672480906e+00
5.416000000000000814e-01,1.249512061198625901e+00
5.423999999999999932e-01,8.781142423383675455e-02
5.432000000000000162e-01,1.128553847419539791e+00
5.440000000000000391e-01,2.824309423989227241e+00
5.447999999999999510e-01,6.084704600201380487e-01
5.455999999999999739e-01,1.752858897282409956e+00
5.463999999999999968e-01,1.517539539887055478e+00
5.472000000000000197e-01,3.399467721923504104e+00
5.479999999999999316e-01,1.975481475414263333e+00
5.488000000000000655e-01,2.173582652953970573e+00
5.495999999999999774e-01,2.649781053254302576e-01
5.504000000000000004e-01,2.327285785318669920e+00
5.512000000000000233e-01,7.005473832384487842e-01
5.519999999999999352e-01,7.601962348758301014e-01
5.528000000000000691e-01,2.902585342048576766e+00
5.535999999999999810e-01,1.648826899532109369e+00
5.544000000000000039e-01,2.096315580958364677e+00
5.552000000000000268e-01,3.267776573971521367e-03
5.559999999999999387e-01,1.470965527454797694e+00
5.567999999999999616e-01,1.307597445536024638e+00
5.575999999999999845e-01,2.613258823331773506e+00
5.584000000000000075e-01,9.805532892028436809e-01
5.592000000000000304e-01,2.156006313578776368e+00
5.600000000000000533e-01,1.273894590374877955e+00
5.607999999999999652e-01,4.309891707179631659e+00
5.616000000000000991e-01,2.326912528652135492e+00
5.624000000000000110e-01,5.370664970471105137e-01
5.631999999999999229e-01,1.331983478428488521e+00
5.640000000000000568e-01,2.154972658629435767e+00
5.647999999999999687e-01,1.796350150255823896e+00
5.655999999999999917e-01,3.221561935089408912e+00
5.664000000000000146e-01,1.787327613778851410e+00
5.672000000000000375e-01,4.833208608401380779e+00
5.679999999999999494e-01,3.938175021806612275e+00
5.687999999999999723e-01,3.950833737188916839e+00
5.695999999999999952e-01,5.034918596675474589e+00
5.704000000000000181e-01,4.608166500156813505e+00
5.712000000000000410e-01,3.303343069747332272e+00
5.719999999999999529e-01,5.390915824304700621e+00
5.728000000000000869e-01,7.050599659798601593e+00
5.735999999999999988e-01,4.268030500516236003e+00
5.743999999999999106e-01,2.787103485801920577e+00
5.752000000000000446e-01,6.650830001005403336e-01
5.759999999999999565e-01,3.116612063457773196e-01
5.767999999999999794e-01,6.730269834332938128e-01
5.776000000000000023e-01,4.278157230270967837e+00
5.784000000000000252e-01,4.061728937255910665e+00
5.792000000000000481e-01,3.180418388487887604e+00
5.799999999999999600e-01,1.505031030185963292e+00
5.807999999999999829e-01,3.990196489183365003e+00
5.816000000000000059e-01,2.465452239775425269e+00
5.824000000000000288e-01,2.637241228489192402e+00
5.831999999999999407e-01,1.667081285171954752e+00
5.840000000000000746e-01,3.788893487384357606e+00
5.847999999999999865e-01,3.749195213273422755e+00
5.855999999999998984e-01,4.652350461451555397e+00
5.864000000000000323e-01,3.556521947046235255e+00
5.871999999999999442e-01,1.455352660665084619e-01
5.880000000000000782e-01,1.286166718774236051e+00
5.887999999999999901e-01,1.645858734159356906e+00
5.896000000000000130e-01,1.871498502189038238e+00
5.904000000000000359e-01,3.552304867469587624e+00
5.912000000000000588e-01,2.549617683639023191e+00
5.919999999999999707e-01,2.914972325334177494e+00
5.927999999999999936e-01,4.228187473712354816e+00
5.936000000000000165e-01,4.031218332488611722e+00
5.943999999999999284e-01,4.843082705147408795e+00
5.952000000000000624e-01,3.320974270245317772e+00
5.959999999999999742e-01,3.167798947370993545e+00
5.967999999999999972e-01,3.301436588508067871e+00
5.976000000000000201e-01,6.552328190304965716e+00
5.983999999999999320e-01,3.213490591648172412e+00
5.992000000000000659e-01,4.619040430138884545e+00
5.999999999999999778e-01,1.350987586429829745e+00
6.008000000000000007e-01,7.987360498024215438e+00
6.016000000000000236e-01,3.080893373298665416e+00
6.024000000000000465e-01,3.616576281485820665e+00
6.031999999999999584e-01,1.872834530699400757e+00
6.039999999999999813e-01,3.693249516849335112e+00
6.048000000000000043e-01,6.676358151507609584e+00
6.055999999999999162e-01,9.104387527095870070e+00
6.064000000000000501e-01,5.068578553113710861e+00
6.071999999999999620e-01,6.969593155908214044e+00
6.080000000000000959e-01,7.326115938658818827e+00
6.088000000000000078e-01,7.108117104949895904e+00
6.095999999999999197e-01,5.464374452362277701e+00
6.104000000000000536e-01,5.829664982588317557e+00
6.111999999999999655e-01,7.774687415216339659e+00
6.119999999999999885e-01,2.502623007118466081e+00
6.128000000000000114e-01,4.663134190302792526e+00
6.136000000000000343e-01,2.796732008334310571e+00
6.143999999999999462e-01,2.696050746630594297e+00
6.151999999999999691e-01,5.214415582851010811e+00
6.159999999999999920e-01,5.462370386013605916e+00
6.168000000000000149e-01,3.163390546189388530e+00
6.176000000000000378e-01,7.404352542131331205e+00
6.183999999999999497e-01,4.603426179156940634e+00
6.192000000000000837e-01,5.966243587699224804e+00
6.199999999999999956e-01,5.476545191878243735e+00
6.207999999999999075e-01,7.168301099697489853e+00
6.216000000000000414e-01,6.532728673805081598e+00
6.223999999999999533e-01,6.494125032561102628e+00
6.231999999999999762e-01,4.821342203181820274e+00
6.239999999999999991e-01,6.484725522880245840e+00
6.248000000000000220e-01,6.827784614631892124e-01
6.256000000000000449e-01,7.009274505288776158e-01
6.264000000000000679e-01,9.179379073125111532e-03
6.271999999999999797e-01,2.321338872758380134e+00
6.280000000000000027e-01,6.327258464428308748e+00
6.288000000000000256e-01,5.578785839913090072e+00
6.295999999999999375e-01,4.049333589362594132e+00
6.304000000000000714e-01,2.440521885136832658e+00
6.311999999999999833e-01,1.475074199064502434e+00
6.320000000000000062e-01,4.147543321149931295e+00
6.328000000000000291e-01,4.193299466201414916e+00
6.335999999999999410e-01,3.576325854012997407e+00
6.343999999999999639e-01,6.238397578659677478e+00
6.351999999999999869e-01,4.290959417561485800e+00
6.360000000000000098e-01,4.985411568909623448e+00
6.368000000000000327e-01,3.499921073705026142e+00
6.376000000000000556e-01,1.380273540475956739e+00
6.383999999999999675e-01,4.132044225660192360e+00
6.391999999999999904e-01,2.241670639133297005e+00
6.400000000000000133e-01,3.331417965757693000e+00
6.407999999999999252e-01,6.886948242796229636e+00
6.416000000000000592e-01,3.366101632025401802e+00
6.423999999999999710e-01,5.152607197437328423e+00
6.431999999999999940e-01,3.598690232214838414e+00
6.440000000000000169e-01,6.848560607245525844e+00
6.447999999999999288e-01,5.584963150819396205e+00
6.456000000000000627e-01,6.524118237172040757e+00
6.463999999999999746e-01,5.592832890865829576e+00
6.471999999999999975e-01,7.198441128159129399e+00
6.480000000000000204e-01,5.287337998024080221e+00
6.488000000000000433e-01,6.949874807659123022e+00
6.495999999999999552e-01,1.896352018996103173e+00
6.503999999999999782e-01,1.080836168602323077e+01
6.512000000000000011e-01,7.456553322231313174e+00
6.519999999999999130e-01,3.885878469255264811e+00
6.528000000000000469e-01,6.573954378428400247e+00
6.535999999999999588e-01,4.849062120883774973e+00
6.543999999999999817e-01,8.005029045935627252e+00
6.552000000000000046e-01,9.124805081398518425e+00
6.560000000000000275e-01,9.073531632196504049e+00
6.568000000000000504e-01,8.075302462867771425e+00
6.575999999999999623e-01,1.175438690692811861e+01
6.583999999999999853e-01,8.262446109672058725e+00
6.592000000000000082e-01,9.974976956613021528e+00
6.600000000000000311e-01,7.379994201902641215e+00
6.607999999999999430e-01,1.155417400737202804e+01
6.616000000000000769e-01,1.033658377551175889e+01
6.623999999999999888e-01,1.184855116430943767e+00
6.632000000000000117e-01,1.109350533603339350e+00
6.640000000000000346e-01,2.603495217627752822e+00
6.647999999999999465e-01,5.514298375562199261e+00
6.656000000000000805e-01,1.049767001303593972e+01
6.663999999999999924e-01,4.578085724375920762e+00
6.672000000000000153e-01,6.854665726860189601e+00
6.680000000000000382e-01,6.881255393694968525e+00
6.687999999999999501e-01,6.566443225755603130e+00
6.695999999999999730e-01,8.042141818854993573e+00
