sample,mean0,mean1,diff_of_means,t_first,t_second
1676,2553.4536,2562.7302,-9.2766718,-0.1402765,-0.92205589
1677,2528.1292,2564.9787,-36.849464,-0.55809834,-0.3797785
1678,2561.5505,2593.4053,-31.854799,-0.48016846,0.30722879
1679,2563.9623,2523.7039,40.258425,0.60352492,-1.4983306
1680,2532.4361,2611.5533,-79.117255,-1.1970841,-1.1818322
1681,2534.3311,2502.3438,31.987301,0.48260646,0.32400549
1682,2469.3836,2488.8532,-19.469619,-0.29048387,0.57954174
1683,2205.2867,2345.7566,-140.46991,-2.1296152,0.71279975
1684,2219.7577,2142.9159,76.841804,1.144761,0.94719412
1685,2859.7577,2936.9335,-77.175762,-1.1494475,-0.040046769
1686,1749.1036,1867.1619,-118.05822,-1.7366143,0.52294168
1687,3375.031,3280.7829,94.24802,1.376458,-0.16538474
1688,2401.6797,2490.6198,-88.940147,-1.3215344,0.41343723
1689,2722.7995,2758.9862,-36.186737,-0.51780537,0.64835589
1690,1237.2759,1170.4693,66.806649,0.98289637,-0.6211586
1691,3067.8654,3112.1506,-44.285154,-0.64497241,-2.0319107
1692,4561.3136,4557.5709,3.7427027,0.056186614,-1.1020338
1693,3606.7402,3616.4417,-9.7014139,-0.14167575,0.54968103
1694,2012.1669,2088.9536,-76.786685,-1.1697264,0.49774242
1695,2147.9192,2144.3614,3.5578912,0.052916999,-0.61553229
1696,2891.9731,2872.2108,19.762292,0.30516332,-0.41014367
1697,3080.6137,3184.9034,-104.28966,-1.5931716,1.1622082
1698,3214.4711,3170.128,44.343083,0.67223623,2.1823117
1699,2998.7833,2992.8231,5.9602243,0.088904253,0.34938506
1700,2656.4738,2735.2171,-78.743309,-1.159324,0.17222754
1701,2257.3136,2220.6474,36.666166,0.54534707,-0.22187152
1702,2518.3096,2540.7277,-22.418173,-0.34104958,-1.5519428
1703,2760.0108,2830.4542,-70.443436,-1.0644168,-1.406869
1704,2360.5061,2302.2334,58.272681,0.87888248,-1.2838223
1705,2501.5989,2572.0452,-70.446246,-1.0823823,-1.7402487
1706,1955.144,1904.9034,50.240623,0.76443184,0.076335214
1707,2063.677,2072.2509,-8.5739558,-0.12966545,0.8063295
1708,2166.8694,2217.596,-50.726537,-0.75899567,-0.55812403
1709,1792.3445,1750.8858,41.458727,0.61825731,0.30972381
1710,1901.9112,1938.4693,-36.558089,-0.54628184,-0.55858829
1711,1918.7941,1971.5533,-52.759247,-0.80639859,-0.89400968
1712,1719.9892,1731.9348,-11.945522,-0.18219215,-0.79483114
1713,1468.8129,1471.2773,-2.4643692,-0.037044908,-0.18199322
1714,1221.9435,1259.6035,-37.660041,-0.56071486,0.74880027
1715,1434.7026,1405.1092,29.593398,0.44056396,0.55062384
1716,1340.6406,1383.2673,-42.626606,-0.63754695,-1.3854793
1717,1413.5128,1372.1857,41.32709,0.62721476,-1.0609109
1718,1217.4643,1228.7679,-11.303546,-0.1718604,0.44341642
1719,1096.0108,1097.877,-1.8662717,-0.028241183,-0.29145588
1720,1111.86,1049.2146,62.645472,0.94161993,-1.5328614
1721,1111.1709,1109.601,1.5699249,0.023748714,-0.84767837
